destination_country,year,season,total_season_records,season_category,peak_season_records,difference_from_peak
Japan,2020,Winter (Dec-Feb),12,Primary Peak,12,0
Japan,2021,Autumn (Sep-Nov),18,Primary Peak,18,0
Japan,2022,Spring (Mar-May),29,Primary Peak,29,0
Japan,2023,Winter (Dec-Feb),35,Primary Peak,35,0
Japan,2024,Summer (Jun-Aug),39,Primary Peak,39,0
Malaysia,2019,Winter (Dec-Feb),26,Primary Peak,26,0
Malaysia,2020,Spring (Mar-May),10,Primary Peak,10,0
Malaysia,2021,Autumn (Sep-Nov),20,Primary Peak,20,0
Malaysia,2022,Winter (Dec-Feb),28,Primary Peak,28,0
Malaysia,2023,Autumn (Sep-Nov),35,Primary Peak,35,0
Malaysia,2024,Autumn (Sep-Nov),37,Primary Peak,37,0
Maldives,2019,Spring (Mar-May),23,Primary Peak,23,0
Maldives,2020,Autumn (Sep-Nov),14,Primary Peak,14,0
Maldives,2021,Winter (Dec-Feb),13,Primary Peak,13,0
Maldives,2022,Winter (Dec-Feb),30,Primary Peak,30,0
Maldives,2023,Spring (Mar-May),30,Primary Peak,30,0
Maldives,2024,Summer (Jun-Aug),35,Primary Peak,35,0
Morocco,2019,Winter (Dec-Feb),22,Primary Peak,22,0
Morocco,2020,Summer (Jun-Aug),9,Primary Peak,9,0
Morocco,2021,Summer (Jun-Aug),16,Primary Peak,16,0
Morocco,2022,Summer (Jun-Aug),23,Primary Peak,23,0
Morocco,2023,Summer (Jun-Aug),37,Primary Peak,37,0
Morocco,2024,Autumn (Sep-Nov),41,Primary Peak,41,0
New Zealand,2019,Summer (Jun-Aug),28,Primary Peak,28,0
New Zealand,2020,Spring (Mar-May),17,Primary Peak,17,0
New Zealand,2020,Winter (Dec-Feb),17,Primary Peak,17,0
New Zealand,2021,Autumn (Sep-Nov),16,Primary Peak,16,0
New Zealand,2022,Summer (Jun-Aug),22,Primary Peak,22,0
New Zealand,2023,Winter (Dec-Feb),38,Primary Peak,38,0
New Zealand,2024,Winter (Dec-Feb),33,Primary Peak,33,0
Singapore,2019,Autumn (Sep-Nov),21,Primary Peak,21,0
Singapore,2020,Autumn (Sep-Nov),13,Primary Peak,13,0
Singapore,2021,Winter (Dec-Feb),19,Primary Peak,19,0
Singapore,2022,Winter (Dec-Feb),27,Primary Peak,27,0
Singapore,2023,Autumn (Sep-Nov),41,Primary Peak,41,0
Singapore,2024,Autumn (Sep-Nov),35,Primary Peak,35,0
Spain,2019,Autumn (Sep-Nov),25,Primary Peak,25,0
Spain,2020,Spring (Mar-May),11,Primary Peak,11,0
Spain,2021,Spring (Mar-May),15,Primary Peak,15,0
Spain,2022,Winter (Dec-Feb),24,Primary Peak,24,0
Spain,2023,Autumn (Sep-Nov),34,Primary Peak,34,0
Spain,2024,Autumn (Sep-Nov),34,Primary Peak,34,0
Switzerland,2019,Summer (Jun-Aug),23,Primary Peak,23,0
Switzerland,2020,Winter (Dec-Feb),15,Primary Peak,15,0
Switzerland,2021,Summer (Jun-Aug),16,Primary Peak,16,0
Switzerland,2022,Summer (Jun-Aug),29,Primary Peak,29,0
Switzerland,2023,Summer (Jun-Aug),40,Primary Peak,40,0
Switzerland,2024,Spring (Mar-May),37,Primary Peak,37,0
Thailand,2019,Summer (Jun-Aug),22,Primary Peak,22,0
Thailand,2020,Summer (Jun-Aug),14,Primary Peak,14,0
Thailand,2021,Winter (Dec-Feb),14,Primary Peak,14,0
Thailand,2022,Winter (Dec-Feb),23,Primary Peak,23,0
Thailand,2023,Summer (Jun-Aug),43,Primary Peak,43,0
Thailand,2024,Autumn (Sep-Nov),35,Primary Peak,35,0
Thailand,2024,Summer (Jun-Aug),35,Primary Peak,35,0
Turkey,2019,Spring (Mar-May),23,Primary Peak,23,0
Turkey,2020,Summer (Jun-Aug),12,Primary Peak,12,0
Turkey,2021,Spring (Mar-May),15,Primary Peak,15,0
Turkey,2022,Spring (Mar-May),30,Primary Peak,30,0
Turkey,2023,Autumn (Sep-Nov),38,Primary Peak,38,0
Turkey,2023,Summer (Jun-Aug),38,Primary Peak,38,0
Turkey,2024,Autumn (Sep-Nov),33,Primary Peak,33,0
Turkey,2024,Spring (Mar-May),33,Primary Peak,33,0
UAE,2019,Winter (Dec-Feb),19,Primary Peak,19,0
UAE,2020,Summer (Jun-Aug),17,Primary Peak,17,0
UAE,2021,Autumn (Sep-Nov),17,Primary Peak,17,0
UAE,2022,Autumn (Sep-Nov),27,Primary Peak,27,0
UAE,2023,Summer (Jun-Aug),34,Primary Peak,34,0
UAE,2024,Spring (Mar-May),35,Primary Peak,35,0
UK,2019,Summer (Jun-Aug),23,Primary Peak,23,0
UK,2020,Spring (Mar-May),12,Primary Peak,12,0
UK,2021,Autumn (Sep-Nov),16,Primary Peak,16,0
UK,2022,Spring (Mar-May),34,Primary Peak,34,0
UK,2023,Spring (Mar-May),38,Primary Peak,38,0
UK,2024,Spring (Mar-May),27,Primary Peak,27,0
USA,2019,Spring (Mar-May),22,Primary Peak,22,0
USA,2020,Summer (Jun-Aug),17,Primary Peak,17,0
USA,2021,Spring (Mar-May),13,Primary Peak,13,0
USA,2021,Summer (Jun-Aug),13,Primary Peak,13,0
USA,2022,Summer (Jun-Aug),25,Primary Peak,25,0
USA,2022,Winter (Dec-Feb),25,Primary Peak,25,0
USA,2023,Spring (Mar-May),38,Primary Peak,38,0
USA,2024,Summer (Jun-Aug),32,Primary Peak,32,0
Australia,2019,Autumn (Sep-Nov),23,Secondary Increase (Second Season),24,1
Canada,2020,Spring (Mar-May),11,Secondary Increase (Second Season),12,1
Canada,2021,Spring (Mar-May),11,Secondary Increase (Second Season),12,1
Canada,2021,Winter (Dec-Feb),11,Secondary Increase (Second Season),12,1
Canada,2024,Spring (Mar-May),27,Secondary Increase (Second Season),28,1
Egypt,2021,Autumn (Sep-Nov),12,Secondary Increase (Second Season),13,1
France,2022,Autumn (Sep-Nov),28,Secondary Increase (Second Season),29,1
Greece,2019,Winter (Dec-Feb),16,Secondary Increase (Second Season),17,1
Greece,2020,Spring (Mar-May),11,Secondary Increase (Second Season),12,1
Greece,2022,Autumn (Sep-Nov),24,Secondary Increase (Second Season),25,1
Italy,2021,Autumn (Sep-Nov),14,Secondary Increase (Second Season),15,1
Italy,2021,Spring (Mar-May),14,Secondary Increase (Second Season),15,1
Italy,2024,Autumn (Sep-Nov),35,Secondary Increase (Second Season),36,1
Malaysia,2020,Summer (Jun-Aug),9,Secondary Increase (Second Season),10,1
Malaysia,2023,Spring (Mar-May),34,Secondary Increase (Second Season),35,1
Maldives,2023,Summer (Jun-Aug),29,Secondary Increase (Second Season),30,1
Maldives,2023,Winter (Dec-Feb),29,Secondary Increase (Second Season),30,1
Maldives,2024,Spring (Mar-May),34,Secondary Increase (Second Season),35,1
Morocco,2019,Summer (Jun-Aug),21,Secondary Increase (Second Season),22,1
Morocco,2022,Winter (Dec-Feb),22,Secondary Increase (Second Season),23,1
New Zealand,2022,Autumn (Sep-Nov),21,Secondary Increase (Second Season),22,1
New Zealand,2022,Winter (Dec-Feb),21,Secondary Increase (Second Season),22,1
Switzerland,2020,Spring (Mar-May),14,Secondary Increase (Second Season),15,1
Thailand,2020,Spring (Mar-May),13,Secondary Increase (Second Season),14,1
Thailand,2021,Autumn (Sep-Nov),13,Secondary Increase (Second Season),14,1
Thailand,2022,Spring (Mar-May),22,Secondary Increase (Second Season),23,1
Thailand,2022,Summer (Jun-Aug),22,Secondary Increase (Second Season),23,1
UAE,2019,Summer (Jun-Aug),18,Secondary Increase (Second Season),19,1
UK,2020,Autumn (Sep-Nov),11,Secondary Increase (Second Season),12,1
UK,2024,Autumn (Sep-Nov),26,Secondary Increase (Second Season),27,1
UK,2024,Summer (Jun-Aug),26,Secondary Increase (Second Season),27,1
USA,2021,Winter (Dec-Feb),12,Secondary Increase (Second Season),13,1
USA,2024,Winter (Dec-Feb),31,Secondary Increase (Second Season),32,1
Australia,2021,Winter (Dec-Feb),13,Secondary Increase (Second Season),15,2
Canada,2023,Winter (Dec-Feb),42,Secondary Increase (Second Season),44,2
Egypt,2022,Summer (Jun-Aug),28,Secondary Increase (Second Season),30,2
Egypt,2023,Autumn (Sep-Nov),40,Secondary Increase (Second Season),42,2
France,2019,Spring (Mar-May),21,Secondary Increase (Second Season),23,2
Indonesia,2019,Winter (Dec-Feb),22,Secondary Increase (Second Season),24,2
Indonesia,2020,Summer (Jun-Aug),10,Secondary Increase (Second Season),12,2
Malaysia,2024,Spring (Mar-May),35,Secondary Increase (Second Season),37,2
Maldives,2020,Spring (Mar-May),12,Secondary Increase (Second Season),14,2
Maldives,2021,Summer (Jun-Aug),11,Secondary Increase (Second Season),13,2
Morocco,2020,Spring (Mar-May),7,Secondary Increase (Second Season),9,2
Morocco,2021,Spring (Mar-May),14,Secondary Increase (Second Season),16,2
Singapore,2021,Summer (Jun-Aug),17,Secondary Increase (Second Season),19,2
Singapore,2022,Summer (Jun-Aug),25,Secondary Increase (Second Season),27,2
Spain,2020,Autumn (Sep-Nov),9,Secondary Increase (Second Season),11,2
Spain,2020,Summer (Jun-Aug),9,Secondary Increase (Second Season),11,2
Spain,2021,Winter (Dec-Feb),13,Secondary Increase (Second Season),15,2
Thailand,2019,Autumn (Sep-Nov),20,Secondary Increase (Second Season),22,2
Thailand,2019,Spring (Mar-May),20,Secondary Increase (Second Season),22,2
Turkey,2020,Spring (Mar-May),10,Secondary Increase (Second Season),12,2
Turkey,2021,Winter (Dec-Feb),13,Secondary Increase (Second Season),15,2
UAE,2024,Autumn (Sep-Nov),33,Secondary Increase (Second Season),35,2
UK,2019,Autumn (Sep-Nov),21,Secondary Increase (Second Season),23,2
UK,2019,Spring (Mar-May),21,Secondary Increase (Second Season),23,2
Canada,2020,Autumn (Sep-Nov),10,Off-Season / Other,12,2
Egypt,2021,Summer (Jun-Aug),11,Off-Season / Other,13,2
Greece,2019,Summer (Jun-Aug),15,Off-Season / Other,17,2
Greece,2022,Summer (Jun-Aug),23,Off-Season / Other,25,2
Malaysia,2020,Autumn (Sep-Nov),8,Off-Season / Other,10,2
Maldives,2024,Autumn (Sep-Nov),33,Off-Season / Other,35,2
Thailand,2022,Autumn (Sep-Nov),21,Off-Season / Other,23,2
UK,2020,Summer (Jun-Aug),10,Off-Season / Other,12,2
UK,2020,Winter (Dec-Feb),10,Off-Season / Other,12,2
USA,2021,Autumn (Sep-Nov),11,Off-Season / Other,13,2
USA,2024,Autumn (Sep-Nov),30,Off-Season / Other,32,2
Australia,2020,Summer (Jun-Aug),10,Secondary Increase (Second Season),13,3
Australia,2022,Summer (Jun-Aug),24,Secondary Increase (Second Season),27,3
Egypt,2020,Summer (Jun-Aug),12,Secondary Increase (Second Season),15,3
Egypt,2020,Winter (Dec-Feb),12,Secondary Increase (Second Season),15,3
France,2020,Summer (Jun-Aug),10,Secondary Increase (Second Season),13,3
Greece,2023,Summer (Jun-Aug),33,Secondary Increase (Second Season),36,3
Greece,2024,Summer (Jun-Aug),29,Secondary Increase (Second Season),32,3
Indonesia,2021,Winter (Dec-Feb),11,Secondary Increase (Second Season),14,3
Indonesia,2024,Winter (Dec-Feb),30,Secondary Increase (Second Season),33,3
Italy,2019,Winter (Dec-Feb),21,Secondary Increase (Second Season),24,3
Italy,2023,Summer (Jun-Aug),35,Secondary Increase (Second Season),38,3
Japan,2020,Spring (Mar-May),9,Secondary Increase (Second Season),12,3
Malaysia,2021,Spring (Mar-May),17,Secondary Increase (Second Season),20,3
Malaysia,2021,Summer (Jun-Aug),17,Secondary Increase (Second Season),20,3
Malaysia,2021,Winter (Dec-Feb),17,Secondary Increase (Second Season),20,3
New Zealand,2021,Summer (Jun-Aug),13,Secondary Increase (Second Season),16,3
New Zealand,2021,Winter (Dec-Feb),13,Secondary Increase (Second Season),16,3
Singapore,2019,Spring (Mar-May),18,Secondary Increase (Second Season),21,3
Singapore,2019,Winter (Dec-Feb),18,Secondary Increase (Second Season),21,3
Spain,2019,Winter (Dec-Feb),22,Secondary Increase (Second Season),25,3
UAE,2020,Autumn (Sep-Nov),14,Secondary Increase (Second Season),17,3
UAE,2021,Summer (Jun-Aug),14,Secondary Increase (Second Season),17,3
UAE,2022,Summer (Jun-Aug),24,Secondary Increase (Second Season),27,3
UAE,2023,Autumn (Sep-Nov),31,Secondary Increase (Second Season),34,3
UAE,2023,Winter (Dec-Feb),31,Secondary Increase (Second Season),34,3
UK,2023,Winter (Dec-Feb),35,Secondary Increase (Second Season),38,3
USA,2019,Winter (Dec-Feb),19,Secondary Increase (Second Season),22,3
Australia,2019,Summer (Jun-Aug),21,Off-Season / Other,24,3
Canada,2024,Winter (Dec-Feb),25,Off-Season / Other,28,3
France,2019,Autumn (Sep-Nov),20,Off-Season / Other,23,3
Maldives,2021,Spring (Mar-May),10,Off-Season / Other,13,3
Morocco,2021,Winter (Dec-Feb),13,Off-Season / Other,16,3
Morocco,2022,Autumn (Sep-Nov),20,Off-Season / Other,23,3
Morocco,2022,Spring (Mar-May),20,Off-Season / Other,23,3
Thailand,2021,Spring (Mar-May),11,Off-Season / Other,14,3
Thailand,2021,Summer (Jun-Aug),11,Off-Season / Other,14,3
Turkey,2021,Autumn (Sep-Nov),12,Off-Season / Other,15,3
Australia,2023,Winter (Dec-Feb),34,Secondary Increase (Second Season),38,4
Italy,2022,Autumn (Sep-Nov),22,Secondary Increase (Second Season),26,4
Japan,2019,Summer (Jun-Aug),24,Secondary Increase (Second Season),28,4
Japan,2023,Autumn (Sep-Nov),31,Secondary Increase (Second Season),35,4
New Zealand,2024,Spring (Mar-May),29,Secondary Increase (Second Season),33,4
Singapore,2020,Spring (Mar-May),9,Secondary Increase (Second Season),13,4
Spain,2024,Summer (Jun-Aug),30,Secondary Increase (Second Season),34,4
Switzerland,2021,Autumn (Sep-Nov),12,Secondary Increase (Second Season),16,4
Turkey,2024,Summer (Jun-Aug),29,Secondary Increase (Second Season),33,4
USA,2022,Spring (Mar-May),21,Secondary Increase (Second Season),25,4
Australia,2020,Autumn (Sep-Nov),9,Off-Season / Other,13,4
Australia,2021,Autumn (Sep-Nov),11,Off-Season / Other,15,4
Australia,2021,Summer (Jun-Aug),11,Off-Season / Other,15,4
Australia,2022,Autumn (Sep-Nov),23,Off-Season / Other,27,4
Canada,2021,Autumn (Sep-Nov),8,Off-Season / Other,12,4
Canada,2024,Summer (Jun-Aug),24,Off-Season / Other,28,4
France,2020,Autumn (Sep-Nov),9,Off-Season / Other,13,4
Greece,2019,Autumn (Sep-Nov),13,Off-Season / Other,17,4
Greece,2020,Winter (Dec-Feb),8,Off-Season / Other,12,4
Greece,2022,Spring (Mar-May),21,Off-Season / Other,25,4
Indonesia,2024,Autumn (Sep-Nov),29,Off-Season / Other,33,4
Indonesia,2024,Spring (Mar-May),29,Off-Season / Other,33,4
Italy,2021,Winter (Dec-Feb),11,Off-Season / Other,15,4
Italy,2024,Summer (Jun-Aug),32,Off-Season / Other,36,4
Malaysia,2020,Winter (Dec-Feb),6,Off-Season / Other,10,4
Morocco,2020,Autumn (Sep-Nov),5,Off-Season / Other,9,4
New Zealand,2021,Spring (Mar-May),12,Off-Season / Other,16,4
Singapore,2019,Summer (Jun-Aug),17,Off-Season / Other,21,4
Switzerland,2020,Summer (Jun-Aug),11,Off-Season / Other,15,4
Turkey,2021,Summer (Jun-Aug),11,Off-Season / Other,15,4
UAE,2021,Winter (Dec-Feb),13,Off-Season / Other,17,4
UAE,2024,Summer (Jun-Aug),31,Off-Season / Other,35,4
UK,2024,Winter (Dec-Feb),23,Off-Season / Other,27,4
Canada,2019,Winter (Dec-Feb),21,Secondary Increase (Second Season),26,5
Canada,2022,Winter (Dec-Feb),19,Secondary Increase (Second Season),24,5
France,2021,Summer (Jun-Aug),11,Secondary Increase (Second Season),16,5
France,2021,Winter (Dec-Feb),11,Secondary Increase (Second Season),16,5
France,2024,Summer (Jun-Aug),37,Secondary Increase (Second Season),42,5
France,2024,Winter (Dec-Feb),37,Secondary Increase (Second Season),42,5
Italy,2020,Spring (Mar-May),5,Secondary Increase (Second Season),10,5
Italy,2020,Summer (Jun-Aug),5,Secondary Increase (Second Season),10,5
Japan,2022,Winter (Dec-Feb),24,Secondary Increase (Second Season),29,5
Malaysia,2022,Spring (Mar-May),23,Secondary Increase (Second Season),28,5
Maldives,2019,Winter (Dec-Feb),18,Secondary Increase (Second Season),23,5
Maldives,2022,Spring (Mar-May),25,Secondary Increase (Second Season),30,5
Morocco,2023,Winter (Dec-Feb),32,Secondary Increase (Second Season),37,5
New Zealand,2019,Autumn (Sep-Nov),23,Secondary Increase (Second Season),28,5
New Zealand,2023,Spring (Mar-May),33,Secondary Increase (Second Season),38,5
Singapore,2024,Spring (Mar-May),30,Secondary Increase (Second Season),35,5
Singapore,2024,Winter (Dec-Feb),30,Secondary Increase (Second Season),35,5
Spain,2022,Autumn (Sep-Nov),19,Secondary Increase (Second Season),24,5
Spain,2023,Summer (Jun-Aug),29,Secondary Increase (Second Season),34,5
Switzerland,2022,Autumn (Sep-Nov),24,Secondary Increase (Second Season),29,5
Switzerland,2024,Winter (Dec-Feb),32,Secondary Increase (Second Season),37,5
Turkey,2019,Autumn (Sep-Nov),18,Secondary Increase (Second Season),23,5
UK,2021,Winter (Dec-Feb),11,Secondary Increase (Second Season),16,5
USA,2020,Autumn (Sep-Nov),12,Secondary Increase (Second Season),17,5
USA,2023,Winter (Dec-Feb),33,Secondary Increase (Second Season),38,5
France,2019,Winter (Dec-Feb),18,Off-Season / Other,23,5
Italy,2023,Winter (Dec-Feb),33,Off-Season / Other,38,5
Japan,2020,Autumn (Sep-Nov),7,Off-Season / Other,12,5
Maldives,2021,Autumn (Sep-Nov),8,Off-Season / Other,13,5
Maldives,2024,Winter (Dec-Feb),30,Off-Season / Other,35,5
Morocco,2019,Autumn (Sep-Nov),17,Off-Season / Other,22,5
Morocco,2020,Winter (Dec-Feb),4,Off-Season / Other,9,5
New Zealand,2022,Spring (Mar-May),17,Off-Season / Other,22,5
Singapore,2021,Autumn (Sep-Nov),14,Off-Season / Other,19,5
Spain,2020,Winter (Dec-Feb),6,Off-Season / Other,11,5
Switzerland,2021,Spring (Mar-May),11,Off-Season / Other,16,5
Thailand,2019,Winter (Dec-Feb),17,Off-Season / Other,22,5
Thailand,2020,Autumn (Sep-Nov),9,Off-Season / Other,14,5
UAE,2019,Autumn (Sep-Nov),14,Off-Season / Other,19,5
Japan,2021,Summer (Jun-Aug),12,Secondary Increase (Second Season),18,6
Japan,2024,Autumn (Sep-Nov),33,Secondary Increase (Second Season),39,6
Japan,2024,Winter (Dec-Feb),33,Secondary Increase (Second Season),39,6
New Zealand,2020,Summer (Jun-Aug),11,Secondary Increase (Second Season),17,6
Switzerland,2019,Spring (Mar-May),17,Secondary Increase (Second Season),23,6
Turkey,2023,Winter (Dec-Feb),32,Secondary Increase (Second Season),38,6
France,2020,Winter (Dec-Feb),7,Off-Season / Other,13,6
France,2021,Spring (Mar-May),10,Off-Season / Other,16,6
Greece,2020,Autumn (Sep-Nov),6,Off-Season / Other,12,6
Greece,2023,Winter (Dec-Feb),30,Off-Season / Other,36,6
Indonesia,2021,Spring (Mar-May),8,Off-Season / Other,14,6
Italy,2019,Spring (Mar-May),18,Off-Season / Other,24,6
Italy,2022,Spring (Mar-May),20,Off-Season / Other,26,6
Italy,2022,Winter (Dec-Feb),20,Off-Season / Other,26,6
Maldives,2019,Summer (Jun-Aug),17,Off-Season / Other,23,6
Morocco,2021,Autumn (Sep-Nov),10,Off-Season / Other,16,6
New Zealand,2023,Autumn (Sep-Nov),32,Off-Season / Other,38,6
Singapore,2020,Summer (Jun-Aug),7,Off-Season / Other,13,6
Singapore,2020,Winter (Dec-Feb),7,Off-Season / Other,13,6
Singapore,2022,Autumn (Sep-Nov),21,Off-Season / Other,27,6
Spain,2019,Summer (Jun-Aug),19,Off-Season / Other,25,6
Spain,2021,Autumn (Sep-Nov),9,Off-Season / Other,15,6
Spain,2021,Summer (Jun-Aug),9,Off-Season / Other,15,6
Switzerland,2020,Autumn (Sep-Nov),9,Off-Season / Other,15,6
Turkey,2020,Autumn (Sep-Nov),6,Off-Season / Other,12,6
Turkey,2020,Winter (Dec-Feb),6,Off-Season / Other,12,6
Turkey,2024,Winter (Dec-Feb),27,Off-Season / Other,33,6
UAE,2019,Spring (Mar-May),13,Off-Season / Other,19,6
UAE,2022,Winter (Dec-Feb),21,Off-Season / Other,27,6
UK,2019,Winter (Dec-Feb),17,Off-Season / Other,23,6
USA,2019,Summer (Jun-Aug),16,Off-Season / Other,22,6
Malaysia,2019,Spring (Mar-May),19,Secondary Increase (Second Season),26,7
Morocco,2024,Spring (Mar-May),34,Secondary Increase (Second Season),41,7
Switzerland,2023,Autumn (Sep-Nov),33,Secondary Increase (Second Season),40,7
Turkey,2022,Summer (Jun-Aug),23,Secondary Increase (Second Season),30,7
Australia,2020,Spring (Mar-May),6,Off-Season / Other,13,7
Egypt,2020,Autumn (Sep-Nov),8,Off-Season / Other,15,7
Greece,2024,Spring (Mar-May),25,Off-Season / Other,32,7
Indonesia,2019,Spring (Mar-May),17,Off-Season / Other,24,7
Indonesia,2019,Summer (Jun-Aug),17,Off-Season / Other,24,7
Indonesia,2020,Spring (Mar-May),5,Off-Season / Other,12,7
Japan,2022,Autumn (Sep-Nov),22,Off-Season / Other,29,7
Japan,2024,Spring (Mar-May),32,Off-Season / Other,39,7
Malaysia,2022,Autumn (Sep-Nov),21,Off-Season / Other,28,7
Malaysia,2023,Winter (Dec-Feb),28,Off-Season / Other,35,7
Maldives,2019,Autumn (Sep-Nov),16,Off-Season / Other,23,7
Maldives,2022,Autumn (Sep-Nov),23,Off-Season / Other,30,7
Maldives,2023,Autumn (Sep-Nov),23,Off-Season / Other,30,7
Morocco,2019,Spring (Mar-May),15,Off-Season / Other,22,7
Morocco,2023,Autumn (Sep-Nov),30,Off-Season / Other,37,7
Singapore,2022,Spring (Mar-May),20,Off-Season / Other,27,7
Spain,2023,Winter (Dec-Feb),27,Off-Season / Other,34,7
Spain,2024,Spring (Mar-May),27,Off-Season / Other,34,7
Spain,2024,Winter (Dec-Feb),27,Off-Season / Other,34,7
Switzerland,2019,Winter (Dec-Feb),16,Off-Season / Other,23,7
UAE,2020,Winter (Dec-Feb),10,Off-Season / Other,17,7
UAE,2024,Winter (Dec-Feb),28,Off-Season / Other,35,7
UK,2021,Summer (Jun-Aug),9,Off-Season / Other,16,7
USA,2022,Autumn (Sep-Nov),18,Off-Season / Other,25,7
Egypt,2024,Summer (Jun-Aug),33,Secondary Increase (Second Season),41,8
Indonesia,2022,Spring (Mar-May),26,Secondary Increase (Second Season),34,8
Indonesia,2023,Winter (Dec-Feb),28,Secondary Increase (Second Season),36,8
Thailand,2023,Winter (Dec-Feb),35,Secondary Increase (Second Season),43,8
Thailand,2024,Spring (Mar-May),27,Secondary Increase (Second Season),35,8
Thailand,2024,Winter (Dec-Feb),27,Secondary Increase (Second Season),35,8
Australia,2019,Winter (Dec-Feb),16,Off-Season / Other,24,8
Egypt,2021,Spring (Mar-May),5,Off-Season / Other,13,8
Egypt,2022,Winter (Dec-Feb),22,Off-Season / Other,30,8
France,2022,Spring (Mar-May),21,Off-Season / Other,29,8
Greece,2023,Spring (Mar-May),28,Off-Season / Other,36,8
Indonesia,2020,Winter (Dec-Feb),4,Off-Season / Other,12,8
Japan,2020,Summer (Jun-Aug),4,Off-Season / Other,12,8
Malaysia,2022,Summer (Jun-Aug),20,Off-Season / Other,28,8
Maldives,2020,Summer (Jun-Aug),6,Off-Season / Other,14,8
New Zealand,2024,Summer (Jun-Aug),25,Off-Season / Other,33,8
Singapore,2021,Spring (Mar-May),11,Off-Season / Other,19,8
Spain,2022,Spring (Mar-May),16,Off-Season / Other,24,8
Switzerland,2022,Spring (Mar-May),21,Off-Season / Other,29,8
Switzerland,2024,Summer (Jun-Aug),29,Off-Season / Other,37,8
Thailand,2020,Winter (Dec-Feb),6,Off-Season / Other,14,8
UAE,2020,Spring (Mar-May),9,Off-Season / Other,17,8
UAE,2022,Spring (Mar-May),19,Off-Season / Other,27,8
UAE,2023,Spring (Mar-May),26,Off-Season / Other,34,8
USA,2019,Autumn (Sep-Nov),14,Off-Season / Other,22,8
USA,2023,Summer (Jun-Aug),30,Off-Season / Other,38,8
Egypt,2019,Autumn (Sep-Nov),16,Secondary Increase (Second Season),25,9
Egypt,2019,Summer (Jun-Aug),16,Secondary Increase (Second Season),25,9
France,2023,Autumn (Sep-Nov),30,Secondary Increase (Second Season),39,9
